Frame,Start Time,End Time,Type,Delay (ms)
196,2024-11-11 18:11:18.540405,2024-11-11 18:11:18.540405,Predicted,0.0
197,2024-11-11 18:11:18.540405,2024-11-11 18:11:18.546262,Predicted,5.857
198,2024-11-11 18:11:18.546262,2024-11-11 18:11:18.550502,Predicted,4.24
199,2024-11-11 18:11:18.550502,2024-11-11 18:11:18.550502,Predicted,0.0
200,2024-11-11 18:11:18.550502,2024-11-11 18:11:18.562131,Predicted,11.629000000000001
201,2024-11-11 18:11:19.736068,2024-11-11 18:11:19.750383,Client,14.315
202,2024-11-11 18:11:19.790781,2024-11-11 18:11:19.800724,Client,9.943
203,2024-11-11 18:11:19.837328,2024-11-11 18:11:19.850463,Client,13.135000000000002
204,2024-11-11 18:11:19.889418,2024-11-11 18:11:19.895341,Client,5.923
205,2024-11-11 18:11:19.935851,2024-11-11 18:11:19.940646,Client,4.795
206,2024-11-11 18:11:19.984696,2024-11-11 18:11:19.995477,Client,10.781
207,2024-11-11 18:11:20.032609,2024-11-11 18:11:20.040395,Client,7.7860000000000005
208,2024-11-11 18:11:20.080842,2024-11-11 18:11:20.085450,Client,4.6080000000000005
209,2024-11-11 18:11:20.128739,2024-11-11 18:11:20.130476,Client,1.737
210,2024-11-11 18:11:20.173205,2024-11-11 18:11:20.180651,Client,7.446000000000001
211,2024-11-11 18:11:20.220775,2024-11-11 18:11:20.230278,Client,9.503
212,2024-11-11 18:11:20.270364,2024-11-11 18:11:20.276733,Client,6.369
213,2024-11-11 18:11:20.315588,2024-11-11 18:11:20.324748,Client,9.16
214,2024-11-11 18:11:20.366526,2024-11-11 18:11:20.376724,Client,10.198
215,2024-11-11 18:11:20.415703,2024-11-11 18:11:20.420395,Client,4.692
216,2024-11-11 18:11:20.463683,2024-11-11 18:11:20.470194,Client,6.511
217,2024-11-11 18:11:20.511799,2024-11-11 18:11:20.520574,Client,8.775
218,2024-11-11 18:11:20.561900,2024-11-11 18:11:20.575321,Client,13.421000000000001
219,2024-11-11 18:11:20.611668,2024-11-11 18:11:20.625025,Client,13.357000000000001
220,2024-11-11 18:11:20.661698,2024-11-11 18:11:20.672510,Client,10.812000000000001
221,2024-11-11 18:11:20.710710,2024-11-11 18:11:20.720595,Client,9.885
222,2024-11-11 18:11:20.757655,2024-11-11 18:11:20.760301,Client,2.646
223,2024-11-11 18:11:20.802573,2024-11-11 18:11:20.812360,Client,9.787
224,2024-11-11 18:11:20.850726,2024-11-11 18:11:20.855339,Client,4.6129999999999995
225,2024-11-11 18:11:20.895879,2024-11-11 18:11:20.905235,Client,9.356
